Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.04     0.00       99     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > >, std::_Select1st<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >, std::less<std::string>, std::allocator<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > > >::_M_end()
  0.00      0.04     0.00       98     0.00     0.00  std::map<std::string, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > >, std::less<std::string>, std::allocator<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > > >::end()
  0.00      0.04     0.00       98     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > >, std::_Select1st<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >, std::less<std::string>, std::allocator<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > > >::_M_begin()
  0.00      0.04     0.00       97     0.00     0.00  std::__array_traits<bool (rf::LuaGlueBitstream::*)(char const*, int, unsigned int), 1ul>::_S_ref(bool (rf::LuaGlueBitstream::* const (&) [1])(char const*, int, unsigned int), unsigned long)
  0.00      0.04     0.00       97     0.00     0.00  std::__array_traits<unsigned int (rf::LuaGlueBitstream::*)(int), 1ul>::_S_ref(unsigned int (rf::LuaGlueBitstream::* const (&) [1])(int), unsigned long)
  0.00      0.04     0.00       97     0.00     0.00  std::array<bool (rf::LuaGlueBitstream::*)(char const*, int, unsigned int), 1ul>::operator[](unsigned long)
  0.00      0.04     0.00       97     0.00     0.00  std::array<unsigned int (rf::LuaGlueBitstream::*)(int), 1ul>::operator[](unsigned long)
  0.00      0.04     0.00       95     0.00     0.00  rf::FileManager::getInstance()
  0.00      0.04     0.00       95     0.00     0.00  rf::FileManager::write_to_file(char const*, char const*, int)
  0.00      0.04     0.00       95     0.00     0.00  rf::LuaGlueBitstream::compare_bit(char const*, int, unsigned int)
